Name,Emulated,ReleaseDate,Developer,Manufacturer,Cpu,Memory,Graphics,Sound,Display,Media,MaxControllers,Notes,Category
Jupiter Ace,true,1982-01-01,Jupiter Cantab,Jupiter Cantab,Zilog Z80A,3 KB expandable to 17 KB,Independent sub-system 2 banks of 1 KB SRAM,1 channel buzzer,32x24 and 64x48 monochrome,Cassette tape,,"The Jupiter Ace was a British home computer of the early 1980s, produced by a company set up for the purpose, named Jupiter Cantab. The Ace differed from other microcomputers of the time in that it used Forth instead of the more common BASIC.",Computers
SAM Coupé,true,1989-01-01,MGT,MGT,Zilog Z80B,256 KB or 512 KB expandable to 4.5 MB max,VLSI ASIC,Phillips SAA1099 6 channel stereo,256x192 512x192,"Cassette tape, Floppy disc",1 (2 using a splitter),"In the last quarter of 1989 MGT launched the Sam Coupé. MGT was already known in the ZX Spectrum world for a range of hardware that they sold. The Sam was their pride and joy, and unfortunately to be their downfall.

The SAM name comes from a working name in the early design phases of ‘Some Amazing Machine’ (or ‘Some Amazing Micro’ or even ‘Spectrum Advanced Machine’ depending on who you talk to) and the ‘Coupé’ was a nickname because the machine resembles a fastback car in profile.",Computers
Enterprise,true,1985-01-01,Intelligent Software,Enterprise Computers,Zilog Z80A,64 KB or 128 KB,Nick ASIC,Dave ASIC,5 graphics and 2 text modes,"Cassette tape, ROM cartridge",2,"The Enterprise (aka Elan) is a Zilog Z80-based home computer first produced in 1985. It was developed by British company Intelligent Software and marketed by Enterprise Computers. Its two variants are the Enterprise 64, with 64 kilobytes (kB) of Random Access Memory (RAM), and the Enterprise 128, with 128 kB of RAM.",Computers
EACA EG2000 Colour Genie,true,1982-08-01,EACA,EACA,Zilog Z80,16 KB expandable to 32 KB,Motorola 6845,AY-3-8910,160x96 plus 40x24 text,"Tape, ROM cartridge, Floppy disc",2,The EACA EG2000 Colour Genie was a computer produced by Hong Kong-based manufacturer EACA and introduced in Germany in August 1982. It followed their earlier Video Genie I and II computers and was released around the same time as the business-oriented Video Genie III.,Computers
Acorn Archimedes,true,1989-06-18,Acorn Computers,Acorn Computers,"Type ARM2, Model VL2333-QC",4 MB,VIDC1a,8 channel stereo,Up to 1152x896,"Floppy disc, Hard disc 20 MB",,The Acorn Archimedes is a family of personal computers designed by Acorn Computers Ltd. The first models were released in June 1987 in Europe at a retail price around £800. The computers were also released in Australia (1988) and in limited availability in North America (1990). The Archimedes computers were one of the most powerful available during the late 1980s and early 1990s. The computers were manufactured until an unspecified time in 1995.,Computers
Tapwave Zodiac,true,2003-10-01,Tapwave,Tapwave,Motorola i.MX1 ARM9,"32 MB (Zodiac 1), 128 MB (Zodiac2 )",ATI Imageon W4200 2D,Yahama,480x320 half VGA,MMC / SD card,1 analog built in,"Tapwave, founded in May 2001 by former Palm executives, announced the Zodiac mobile entertainment console in May 2003 and began shipping in October 2003. Zodiac was designed to be a high-performance mobile entertainment system centered on games, music, photos, and video.

By running an enhanced version of the Palm Operating System (5.2T), Zodiac also provided access to Palm’s personal information management software and many other applications from the Palm developer community.  

The Zodiac console was initially available in two models, Zodiac 1 (32MB), and Zodiac 2 (128MB).

Some of the noteworthy game titles for the product included: Tony Hawk’s Pro Skater 4 (Activision); Mototrax (Activision); Spyhunter (Midway); Madden NFL 2005 – (EA/MDM); DOOM II (id Software); Golden Axe 3 and Altered Beast (Sega); Warfare Incorporated (Handmark); and Duke Nukem Mobile (3D Realms/MachineWorks).",Handhelds
Atari ST,true,1985-06-01,Atari,Atari,Motorola 68000,512 KB or 1 MB,Custom,YM2149F PSG,"320x200, 640x200, 640x400","Cartridge, Floppy disc",1,"The Atari ST is a line of home computers from Atari Corporation. The first models were released in June 1985 in North America at a retail price around $799.99 or $999.99, depending on the model. The computers were also released in limited availability in Europe (1985). The ST is the first personal computer to come with a bitmapped color GUI. The computers were manufactured until an unspecified time in 1993.",Computers
Bally Astrocade,true,1977-12-01,Midway,"Bally, Astrovision",Zilog Z80 @ 1.789 MHz,"4 KB RAM expandable to 64 KB, 8 KB ROM","Custom on-board chip, bitmap, 2 plane bitpacked","3 voices + noise/vibrato effects, (played through TV)",160x102 up to 320x204,Cartridge,4,"The Bally Astrocade, originally referred to as the Bally Home Library Computer, is a second generation (1976–1992) home video game console developed by Midway and distributed by Bally Manufacturing. It was released in late 1977 in North America at a retail price of $299. The console was not released outside North America. The Astrocade was known for having the most powerful graphics and sound capabilities for all consoles of it's era. The console was discontinued in mid to late 1983.",Consoles
Magnavox Odyssey,true,1972-05-01,Magnavox,Magnavox,None - discrete components only,None,White squares on a black background,None,N/A,Pin out cards,2,The Magnavox Odyssey is a first generation (1972–1980) home video game console developed and distributed by Magnavox. It was released in September 1972 in North America at a retail price of $99. The console was later released in Europe (1973). The Odyssey is the known to be the first commercial home video game console. The console was discontinued sometime in 1975.,Consoles
Emerson Arcadia 2001,true,1982-05-01,Emerson Radio,Emerson Radio,Signetics 2650,512 bytes,Signetics 2637 VDC,"2 channel, beep and noise",208x108,Cartridge,2,"Emerson Arcadia 2001 was supposed to be the Atari 2600 killer.  A great console with great games.  Unfortunately they fell prey to complete lack of third party development and the lack of arcade game titles.  Similar to other consoles before it, they were forced to release arcade clones.",Consoles
Sega SG-1000,true,1983-07-15,Sega,Sega,NEC 780C,"2 KB RAM, 16 KB video RAM",Texas Instruments TMS9928A VDC,"Texas Instruments SN76489, 4 channel mono",256x192,Cartridge,2,"Sega's SG-1000 (Sega Game 1000) (a.k.a Mark I) was the company's first attempt at home consoles.  It was initially test marketed in 1981 and finally released to Japanese consumers in July of 1983.  It was a pretty advanced system for its time and featured impressive technical specifications.  The system would be sold in Japan until 1985 and was released in various markets throughout European and Australasia.

In 1984, Sega released an updated version of the console called the SG-1000 Mark II.  This remodeled version used gamepads instead of the original joysticks and had mounts to store them on each side.  It also featured a slot which allowed a keyboard attachment called SK-1100 and was compatible with software from the Sega SC-3000 computer.  Sega also sold an optional adaptor called Card Catcher.  This adaptor would allow the SG-1000 to play Sega ""Game Card"" software.",Consoles
Epoch Super Cassette Vision,true,1984-07-17,Epoch,Epoch,NEC PD7801G,128 bytes RAM plus 4 KB video RAM,Epoch TD-1 VDC,"PD1771C, 1 channel",309x246,Cartridge,2,"The Super Cassette Vision was released in 1984 as the successor to Epoch's Cassette Vision.  The system was also manufactured and distributed for Europe (particularly France) by a company called ITMC.  In Europe it was called the Yeno Super Cassette Vision.

In 1985, Epoch decided to release a limited edition version called Lady Cassette Vision.  The pink colored console came bundled with it's own carrying case and a game called Milky Princess.",Consoles
Microsoft MSX,true,1983-06-27,Microsoft,Various,Zilog Z80A,"8 KB minimum, 32 or 64 KB common, 128 KB some",Texas Instruments TMS9918 family,General Instruments AY-3-8910 PSG,256x192 plus 2 text modes 40x24 and 32x24,"Cassette tape, Cartridge",,"MSX is the name of a standardized home computer architecture, first announced by Microsoft on June 16, 1983.",Computers
MS-DOS,false,1981-08-01,Microsoft,IBM,,,,,,,,"MS-DOS, short for Microsoft Disk Operating System, was an operating system for x86-based personal computers mostly developed by Microsoft. It was the most commonly used member of the DOS family of operating systems, and was the main operating system for IBM PC compatible personal computers during the 1980s to the mid-1990s, when it was gradually superseded by operating systems offering a graphical user interface (GUI), in various generations of the Microsoft Windows operating system.",Computers
Windows,false,1985-11-20,Microsoft,,,,,,,,,"Microsoft introduced an operating environment named Windows on November 20, 1985 as a graphical operating system shell for MS-DOS in response to the growing interest in graphical user interfaces (GUIs). Microsoft Windows came to dominate the world's personal computer market with over 90% market share, overtaking Mac OS, which had been introduced in 1984.",Computers
Web Browser,false,,,,,,,,,,,"A browser game is a computer game that is played over the Internet using a web browser. Browser games can be run using standard web technologies or browser plug-ins. The creation of such games usually involves use of standard web technologies as a frontend and other technologies to provide a backend. Browser games include all video game genres and can be single-player or multiplayer. Browser games are also portable and can be played on multiple different devices, web browsers, and operating systems.",Computers
Sega Model 2,true,1993-01-01,Sega,Sega,Intel i960-KB @ 25 MHz,"9776 KB (Model 2/2A-CRX), or 18,388 KB (Model 2B/2C-CRX)","6× Fujitsu TGP MB86234 (Model 2/2A-CRX), or 2× Analog Devices ADSP-21062 SHARC (Model 2B-CRX), or 2× Fujitsu TGPx4 MB86235 (Model 2C-CRX)","2× Sega 315-5560 Custom MultiPCM (Model 2), or Yamaha SCSP (Model 2A/2B/2C-CRX)","496×384 pixels, 24 Hz horizontal sync, 60 Hz refresh rate, progressive scan (non-interlaced)",Arcade System Bosrd,2,"The Sega Model 2 is an arcade system board originally debuted by Sega in 1993 as a successor to the Sega Model 1 board. It is an extension of the Model 1 hardware, most notably introducing the concept of texture-mapped polygons, allowing for more realistic 3D graphics (for its time). The Model 2 board was an important milestone for the arcade industry, and helped launch several key arcade franchises of the 90s, including Daytona USA, Virtua Cop, Sega Rally Championship, Dead or Alive, Virtua Striker, Cyber Troopers Virtual-On and The House of the Dead. 

The Model 2 was engineered with help from GE Aerospace (acquired by Martin Marietta in 1993, now part of Lockheed Martin), who designed the texture-mapping technology incorporated by the Model 2. The Model 2's development was led by famed game designer Yu Suzuki. The Model 2 arcade board debuted along with Daytona USA, a game which was finished, copyrighted and debuted at the JAMMA arcade show in 1993.[1] 

There four versions of the system: the original Model 2 and the Model 2A-CRX, Model 2B-CRX and Model 2C-CRX variants. Model 2 and 2A-CRX used a custom DSP with internal code for the geometrizer while 2B-CRX and 2C-CRX used well documented DSPs and uploaded the geometrizer code at startup to the DSP.",Arcade
Namco System 22,true,1993-01-01,Evans & Sutherland,Namco,Motorola 68020 32-bit @ 24.576 MHz,,2x Texas Instruments TMS32025 @ 49.152 MHz,Sound CPU: Mitsubishi M37702 (System 22 Games) or M37710 (Super System 22 Games) @ 16.384 MHz,"Texture Mapping, Real-Time, Real-Visual, Rendering System",Arcade,2,"History

The Namco System 22 is the successor to the Namco System 21 arcade system board co-designed with the assistance of graphics & simulation experts Evans & Sutherland. It was first released in 1993 with the game Ridge Racer. It was essentially a continuation of the System 21 hardware design, where the main CPU provides a scene description to a bank of DSP chips which perform all necessary 3D calculations. Additional graphical improvements included texture mapping, Gouraud shading, transparency effects, and depth cueing thanks to the Evans & Sutherland 'TR3' chip/chipset, which stands for: Texture Mapping, Real-Time, Real-Visual, Rendering System.

A variant of the system, called the Super System 22, was released in 1995. The hardware was largely similar to the System 22, but with a slightly higher polygon rate and more special effects possible.

Both Super System 22 and System 22 can render significantly better graphics, more polygons with sharper texture-mapping, running in higher resolution and at a higher framerate compared to the graphics capabilities of the original Sony PlayStation, the Sega Saturn and the Nintendo 64 video game systems, but much less than what the Sega Dreamcast can produce.[citation needed]

According to Namco America the twin seat Ridge Racer arcade unit sold to distribution for $11,995.00 in 1993.",Arcade
Sega Model 3,true,1996-01-01,Sega and Lockheed Martin,Sega and Lockheed Martin,IBM-Motorola PowerPC 603e (32-bit & 64-bit instructions),"8192 KB, (8 MB) 66 MHz",2× Lockheed Martin Real3D/Pro-1000,Yamaha SCSP/YMF292-F,"496×384 to 640x480, progressive scan (non-interlaced), 24 kHz horizontal sync, one or two planes",Arcade system Board,2,"The Sega Model 3 is an arcade platform produced by Sega in partnership with Lockheed Martin. It is a successor to the Sega Model 2 platform, and was released in 1996. 

The Model 3 hardware is very different to the Model 1 and Model 2 boards which preceded it. It was desinged with one purpose in mind - to push as many textured polygons as possible for as least money as possible. Upon release, the Model 3 board was more powerful than any other arcade platform on the market, as well as any home console or computer.",Arcade
Sega System 32,true,1990-01-01,Sega,Sega,NEC V60 @ 16.10795 MHz,1844.125 KB,"Sega Super Scaler 317-5964 chipset (315-5242 video DAC/color encoder, 315-5385 system controller/timer, 315-5386/315-5386A tilemap generator, 315-5387 sprite generator, 315-5388 video mixer/color blender).",Zilog Z80 @ 8.053975 MHz (8-bit & 16-bit instructions @ 1.168 MIPS),"320×224 (display), 416×262[22] (overscan), progressive scan",Arcade System Board,2,"Sega System 32 is the name of an arcade platform released by Sega that debuted in 1990. It was a successor to the Sega System 16 and Sega System 24 boards, and contains a 32-bit RISC processor at 16 MHz, hence its name. 

It was the last board to be released under the ""Sega System"" naming scheme - the ""Sega Model"" series would begin in 1992 with the Sega Model 1. Whereas Model 1 hardware was designed specifically with 3D games in mind, System 32 primarily catered for 2D games. Like the Sega X Board and Sega Y Board it is capable of scaling many sprites in real-time, resulting in several ""pseudo-3D"" games. 

A variant of this hardware, System Multi 32 was created for use with twin cabinets, specifically for games that where more than one player could play on separate screens. 

Unlike other Sega arcade hardware from this period, few System 32 games have ever been ported to home consoles. A re-imagining of Air Rescue hit European Sega Master Systems in 1992 (which although shares the same name, is almost completely different in design to the arcade version), OutRunners saw a vastly reduced port to the Sega Mega Drive by Data East and Rad Mobile was heavily tweaked and turned into Gale Racer for the Sega Saturn. Everything else seems to have been deemed ""too good"" for the Mega Drive and ""not good enough"" for the Saturn.",Arcade
Sega System 16,true,,Sega,Sega,MC68000 @ 10 MHz,32 MB,Zilog Z80 @ 4 MHz (5 MHz in System 16B),YM2151 @ 4 MHz & Nec uPD7759 @ 640 kHz,320 x 224 (vertical),Arcade System board,2,"The Sega System 16 is an arcade board released by Sega in 1985 as a 16-bit successor to the Sega System 1. Throughout its lifespan, there would be around forty games released on this hardware, making it one of Sega's most successful hardware designs. It was produced in three variants, the Pre-System 16, System 16A and System 16B, though the only differences between the three are clock speeds. 

The System 16 is the home to many of Sega's most successful franchises, including Shinobi, Fantasy Zone, Altered Beast and Golden Axe. It popularised the use of the Motorola 68000 CPI and Zilog Z80 combo, something which was copied for Capcom's successful CPS-1 and CPS-2 boards (among other arcade systems of the day), as well as most notably, the Sega Mega Drive. 

In order to prevent piracy, as well as illegal bootleg games, many System 16 boards used an encryption system. A Hitachi FD1094 chip, containing the main CPU as well as the decryption key, was used in place of a regular CPU. 

Though Pre-System 16, System 16A and System 16B are the three most recognised variants of the hardware, there is technically a fourth, dubbed ""System 16C"" which was used by the 2008 release of Fantasy Zone II DX: The Tears of Opa-Opa. Fantasy Zone II DX arrived almost a decade and a half after the System 16 hardware was discontinued, however its real arcade release means that System 16C specifications may belong to the Sega System 16 series. Fantasy Zone II DX needs more RAM than any of the other System 16 boards can offer, but the game adhered to other restrictions of the hardware.",Arcade
Sammy Atomiswave,true,2003-01-01,Sammy Corporation,Sammy Corporation,Hitachi SH-4 32-bit RISC CPU 200 MHz Rated performance: 360 MIPS/1.4 GFLOPS,16 MB,PowerVR 2 100 MHz,"ARM7 Yamaha AICA (with internal 32-bit RISC CPU, 64 channel ADPCM) 45 MHz",3 to 5 million polygons/sec,ROM board,2,"The Atomiswave is a custom arcade system board and cabinet from Sammy Corporation. It is based on Sega's NAOMI system board (thus it's common to see the ""Sega"" logo on its boot up screen). The Atomiswave uses interchangeable game cartridges and the cabinet's control panel can be easily switched out with different control sets, including dual joysticks, dual lightguns and a steering wheel.

With the retirement of the aging Neo Geo MVS system, SNK Playmore chose the Atomiswave as its next system to develop games for. In a contract with Sammy, SNK Playmore agreed to develop five games for the Atomiswave system. Metal Slug 6 was SNK Playmore's fifth game for the Atomiswave, after which SNK moved on to a Taito Type X2 arcade board.",Arcade
Sega Naomi,true,1998-01-01,Sega,Sega,Hitachi SH-4 @ 200 MHz,56 MB (64 MB with GD-ROM),NEC-VideoLogic PowerVR 2 (PVR2DC/CLX2) @ 100 MHz4,Yamaha AICA Super Intelligent Sound Processor @ 67 MHz,"VGA, 320×240 to 800×608 pixels, progressive scan",Rom Cartridges,2,"The Sega NAOMI (New Arcade Operation Machine Idea) is an arcade system board released in 1998 as a successor to Sega Model 3 hardware. It uses the same architecture as the Sega Dreamcast, and stands as one of Sega's most successful arcade systems of all time, along with the Sega Model 2. 

The NAOMI debuted at a time when traditional arcades were on a decline, and so was engineered to be a mass-produced, cost-effective machine reliant on large game ROM ""cartridges"" which could be interchanged by the arcade operator. This is contrary to systems such as the Model 3, in which each board, despite sharing largely the same specifications, would be bespoke, with the built-in ROMs being flashed with games during the manufacturing process. This is not the first time such an idea was utilised by Sega, but never before had technology been used for a cutting-edge Sega arcade specification. 

Unlike most hardware platforms in the arcade industry, NAOMI was widely licensed for use by other manufacturers, many of which were former rivals to Sega such as Taito, Capcom and Namco. It is also one of the longest-serving arcade boards, being supported from 1998 to 2009. It is a platform where many top-rated Sega franchises were born, including Virtua Tennis, Samba de Amigo, Crazy Taxi and Monkey Ball. 

The NAOMI was succeeded by the Sega Hikaru and Sega NAOMI 2 boards, though having out-lasted the NAOMI 2, Hikaru and Sega Aurora. The Sega Chihiro, or possibly even the Sega Lindbergh, could also be seen as successors.",Arcade
Sega Naomi 2,true,2000-01-01,Sega,Sega,2× Hitachi SH-4 @ 400 MHz,168 MB,Main T&L geometry GPU coprocessor: VideoLogic Elan @ 100 MHz,Yamaha AICA Super Intelligent Sound Processor @ 67 MHz,"Single monitor: 496×384 to 800×608 pixels, Dual monitor: 992×768 to 1600×608 pixels",GD-ROM and Satellite Terminal variants.,2 to 4 players,"The Sega NAOMI 2 is an arcade board developed by Sega and is a successor to Sega NAOMI hardware. It was originally released in 2000, and stands as a beefed up version of the NAOMI specification. It is also fully backwards compatible with its predecessor. 

The NAOMI 2 is by and large a more powerful successor of the NAOMI, adding a secondary CPU and GPU at higher clock rates, adding a new T&L GPU, and increasing the main graphics memory. This leads to games with much more polygons than a NAOMI game, rendered at much faster speeds, while the new T&L GPU adds advanced lighting and particle effects. It was more affordable than the Sega Hikaru arcade system that preceded it. 

As with the NAOMI, the NAOMI 2 was also available in GD-ROM and Satellite Terminal variants.",Arcade
Atari 800,true,1979-11-01,Atari,Atari,"MOS 6502, 1.8MHz ","8K base, 48K max","384 pixels per TV line, 256 colors, 8x sprites, raster interrupts. RGB video output. TV video output.","4x oscillators with noise mixing, or 2x AM digital",24 x 40 text. 320 x 192 monochrome. 160 x 96 with 128 colors.,Cartridge,4,"The Atari 800 was announced in December 1978, though it didn't actually start shipping until late in 1979.

Designed to look like a friendly typewriter, the Atari 800 is an expandable system with two easily accessable cartridge ports under a front cover, and a removable top with four expansion slots inside.  The cartridges are very handy, just plug 'em in and go! Technologically, there's not much to them, just some ROM chips with the program already burned into them.  The Atari 800 has multiple special purpose co-processors for sound and graphics to take the load off of the 6502 CPU, and it has sprites and collision-detection built into its hardware, so it is an excellent game machine.  Up to four Atari 810 floppy drives ($599.95 each) can be hooked-up, allowing fast and reliable data storage.  The floppy drive uses single-sided 5 1/4-inch floppy disks, holding 90K of data on a disk. The data is transfered in serial format at 19200 baud.  The Atari 820 impact dot-matrix printer ($449.95) prints 40 columns of 5x7 characters, at approximately 40 characters per second.  The 810 and 820 are considered ""intelligent"" peripherals - they have built-in processor chips which lighten the load on the computer's main processor. They can each be plugged directly into the Atari 400 or 800, with no other inteface required. 

Unfortunately, the Atari 800 doesn't have any standard peripheral ports for non-Atari printers, modems, etc. So in 1980, Atari released the Atari 850 Interface Module, which provides 4 separate RS-232-C serials ports and a single Centronics compatible printer port. It plugs into one of the controller jacks on the computer, which are actually both input/output, analog and digital ports.  There are two versions of the 850. The black metal version is the original unit and is very uncommon. The newer version was plastic.  The first Atari modem, the Atari 830 Acoustic Couple Modem. It has two cups on top to cradle the telephone handset, and it requires both the Atari 850 Interface Module and the TeleLink I ROM cartridge to operate.  The second modem released was the Atari 835 Direct Connect Modem, a stand-alone unit which hooks directly to the telephone line and does not use the 850 Interface Module. It does, however, require the Atari Telelink II ROM cartridge.  The 835 modem/cartridge pair features 300 baud upload/download speed, autodial, and they even remember the last two numbers dialed.

Additional accessories include the external keypad ($124.95) for fast data entry.  Although an external floppy drive was available, beginners often used the cheaper but less reliable cassette tape drive.  Numerous games were released on cassette tape, and Atari produced introductory and programming tapes.  Like the Atari 400, the 800 was designed by a team which included Jay Miner, who later went on to help design the Amiga 1000.  In 1983, Atari released the 800XL computer. It has the same CPU as the Atari 800, and runs at the same speed. Basically a cheaper version of the 800, it is supposed to be compatible with all Atari 800 software and peripherals, but it isn't. Improvements include: 64K base RAM vs. 8K, parallel I/O port (PBI), and general purpose I/O port.",Computers
Sega Model 1,true,1992-01-01,Sega,Sega,32-bit RISC NEC V60 uPD-70616 @ 16 MHz (2.5 MIPS),1936 KB (1880 KB SRAM),Fujitsu TGP MB86233 FPU 32bits 16M flops,2 x Sega MultiPCM Custom 28 channel PCM chips @ 8 MHz,496x384 in 65536 colors,,2,"Sega went to General Electric Aerospace (who made the first 3D simulators for NASA in the 1960s) in 1991-92 for assistance to develop a CG platform architecture for their new experimental 3D system, which later became known as Model 1. Virtua Racer was the game being written to find out how viable hardware 3D games were; it was never designed to be released, but it was such a success internally they decided to actually release it. 

Unfortunately, seeing as it was so expensive to manufacture it was never a stunning financial success for Sega, but it did cement their place in the history books as the world leader in 3D arcade technology, a title which they still hold to this day, and it led to possibly the most popular platform ever, Model 2.",Arcade
Sega Pico,true,1993-06-01,Sega,Sega,"Motorola 68000 @ 7.6 MHz, Zilog Z80 @ 3.58 MHz","72kB of RAM, as well as 64 kB of video RAM",Video Display Processor (VDP),Zilog Z80 sub-processor,Touchscreen,"""Storyware"" (Cartridge)",,"The Sega Pico, also known as Kids Computer Pico, is an educational video game console by Sega. Marketed as ""edutainment"", the main focus of the Pico was educational video games for children between 3 and 7 years old. The Pico was released in 1993 in Japan and 1994 in North America and Europe, and later reached China. It was later succeeded by the Advanced Pico Beena, which was released in Japan in 2005. Though the Pico was sold continuously in Japan through the release of the Beena, in North America and Europe the Pico was less successful and was discontinued in early 1998, later being re-released by Majesco. Releases for the Pico were focused on education for children and included titles supported by licensed franchised animated characters, including Disney and Sega's own Sonic the Hedgehog series. Overall, Sega claims sales of 3.4 million Pico consoles and 11.2 million game cartridges, and over 350,000 Beena consoles and 800,000 cartridges.",Consoles
Acorn Atom,true,1980-01-01,Acorn Computers,Acorn Computers,"MOS Technology 6502, 1MHz","2 kb RAM (Expandable to 12), 8 kb ROM (Expandable to 12)",,"1 Channel, Integral Loudspeaker","64x64 (4 colors), 64x96 (4 colors), 128x96 (monochrome), 64x192 (4 colors), 128x192 (2 colors), 256x192 (monochrome)","100kb 5 1/4 inch Floppy Disk, Cassette Tapes",,"The Acorn Atom is a home computer designed by Acorn Computers Ltd. The computer was released in 1980 in Europe at a retail price ranging from £120 to £200, depending on the package bought. The computer was not released outside of Europe. The Atom was Acorn's first computer to be aimed squarely at the home market. The computer was manufactured until an unspecified time in 1983.",Computers
Amstrad GX4000,true,1990-09-01,Amstrad,Amstrad,8/16-bit Zilog Z80A @ 4MHz,"64 kb RAM, 16 kb VRAM, 32 kb ROM",Custom on-board chip-set,"AY-3-8912 chip, 3 channel stereo","160x200 pixels with 16 colors, 320x200 pixels with 4 colors,  or 640x200 pixels with 2 colors",ROM Cartridge,2,"The Amstrad GX4000, commonly known as the GX4000, is a third generation (1983-2003) video game console developed and distributed by Amstrad. It was released in September of 1990 in Europe at a retail price of £99.99. The console was not released outside Europe. The GX4000 was Amstrad's short-lived attempt to enter the games console market, being primarily a home computer manufacturer. The console was discontinued in late 1991.",Consoles
Apple II,true,1977-06-01,"Steve Wozniak/Steve Jobs, Apple Computer, Inc.","Apple Computer, Inc.",MOS Technology 6502,4 KB up to 64 KB,NTSC Video Out,1-bit speaker,"Lo-res (40x48), Hi-res (280 x 192)","Audio Cassette, 5.25"" Floppy",1,"In 1976, computer pioneers Steve Wozniak and Steve Jobs began selling their Apple I computer in kit form to computer stores. A month later, Wozniak was working on a design for an improved version, the Apple II. They demonstrated a prototype in December, and then introduced it to the public in April 1977. The Apple II started the boom in personal computer sales in the late 1970s, and pushed Apple into the lead among personal computer makers.",Computers
Apple IIGS,true,1986-09-15,"Apple Computer, Inc.","Apple Computer, Inc.","WDC 65C816, 2.8 MHz","1.125 MB Ram Built in, Expandable to 8 MB",VGC 12-bpp palette,"Ensoniq 5503 Digital Oscillator Chip, 8-bit audio","320 x 200, 640 x 200","5.25"" and 3.5"" Floppy Disks",1 Game I/O Socket,"The Apple IIGS is a personal computer released by Apple Computer on September 15, 1986 that's compatible with the Apple II series, but otherwise has capabilities comparable to the Atari ST, Commodore Amiga, and Macintosh. The ""GS"" in the name stands for ""Graphics"" and ""Sound,"" referring to its enhanced multimedia hardware, especially its state of the art sound and music synthesis.

The machine is a radical departure from any previous Apple II, with its 16-bit processor, direct access to megabytes of RAM, and mouse. It's the first computer produced by Apple to use a color graphical user interface (color was introduced on the Macintosh II six months later) and Apple Desktop Bus interface for keyboards, mice, and other input devices. It is the first personal computer to come with a built-in wavetable synthesis chip, utilizing technology from Ensoniq.",Computers
Casio Loopy,true,1995-10-19,Casio,Casio,32-bit RISC SH-1 (SH7021),,32-Bit,,,Cartridge,1,"The Casio Loopy, subtitled My Seal Computer SV-100, is a fifth generation (1993–2005) video game console developed and distributed by Casio. It was released on October 19, 1995 in Japan at a retail price believed to be 25,000¥. The console was not released outside Japan. The Loopy was marketed to females and included a built-in thermal color printer that could be used to create stickers from game screenshots. The console was discontinued in October 1996.",Consoles
Casio PV-1000,true,1983-10-01,Casio,Casio,"Z80A, 3.579 MHz",2KB RAM,8 Colors,"D65010G031, 3 Channel",256 x 192,ROM Cartridge,2,"The Casio PV-1000, is a third generation (1983-2003) video game console developed and distributed by Casio. It was released in October 1983 in Japan at a retail price of 14,800¥. The console was not released outside Japan. The PV-1000 failed to achieve a significant market share, and thus only had 13 games released during it's life. The console was discontinued by early 1984.",Consoles
Coleco ADAM,true,1983-10-01,Coleco,Coleco,"Zilog Z80, 3.58 MHz","80 KB RAM, 16 KB VRAM, 32 KB ROM",Texas Instruments TMS9928A,Texas Instruments SN76489AN,256 x 192,"ROM Cartridge, Floppy",1,"The Coleco ADAM is a home computer, and expansion for the ColecoVision (port 3), released in 1983 by American toy manufacturer Coleco. It was an attempt to follow on the success of the company's ColecoVision video game console. The ADAM was not very successful, partly because of early production problems, and was orphaned in early 1985.",Computers
Commodore 128,true,1985-01-01,Commodore,Commodore,"MOS Technology 8502, 2 MHz, Zilog Z80, 4 MHz, and MOS Technology 6502",128 KB RAM,MOS 8564/8566 VIC-II,MOS 6581 SID synthesizer chip,"160 x 200, 320 x 200",Floppy,1,"The Commodore 128, also known as the C128, C-128, C=128, or occasionally CBM 128, is the last 8-bit home computer that was commercially released by Commodore Business Machines (CBM). Introduced in January 1985 at the CES in Las Vegas, it appeared three years after its predecessor, the bestselling Commodore 64.",Computers
Commodore Amiga CD32,true,1993-09-17,Commodore,Commodore,"Motorola 68EC020, 14.32 MHz(NTSC), 14.16MHz(PAL)",2 MB Amiga Chip RAM,24-bit colour palette,4 x 8-bit PCM Channels,"320 x 200 (NTSC), 320 x 256 (PAL)",CD-ROM,2,"The Amiga CD32, styled ""CD32"" and code-named ""Spellbound"", is the first 32-bit home video game console released in western Europe, Australia, Canada and Brazil. It was first announced at the Science Museum in London on July 16, 1993, and was released in September of the same year. The CD32 uses CD-ROM media, and was developed by Commodore, creator of the Commodore Amiga computer. It was based on Commodore's Advanced Graphics Architecture chipset, and is of similar specification to the Amiga 1200 computer. Using third party devices, it is possible to upgrade the CD32 with keyboard, floppy drive, hard drive, RAM and mouse, turning it into the equivalent of an Amiga 1200 personal computer. A hardware MPEG decompression module for playing Video CD was also released. In the Christmas period following its launch, the CD32 accounted for 38% of all CD-ROM drive sales in the UK, exceeding sales of the Mega-CD; however, it was soon overshadowed by CD-ROM based games consoles from other companies, and was discontinued as Commodore went into bankruptcy.",Consoles
Commodore CDTV,true,1991-03-01,Commodore,Commodore,"Motorola 68000, 7.16 MHz",1 MB Amiga Chip RAM,12-bit Color Palette,4 x 8-bit PCM Channels,"320 x 200, 320 x 256","CD-ROM, Floppy",1,"The CDTV (an acronym for ""Commodore Dynamic Total Vision"", a backronym of an acronym for ""Compact Disc Television"", giving it a double meaning) is a multimedia platform developed by Commodore International and launched in March 1991. The CDTV was intended as a media appliance rather than a personal computer.",Computers
